month	平均成交价格	票值价格	价格溢价	成交活跃度	noise_avg_平均成交价格	noise_avg_成交量	noise_avg_票值价格	deviate_avg_12_平均成交价格	deviate_avg_12_成交量	deviate_avg_12_票值价格
2008-08	8.71	8.37	0.04	0.08	-56.52	-91.3	-65.22	-0.4	-0.29	-0.42	
2008-09	7.6	7.94	-0.04	0.08	-65.22	-82.61	-73.91	-0.45	-0.16	-0.42	
2008-10	6.93	5.99	0.16	0.09	-82.61	-100	-82.61	-0.46	-0.15	-0.52	
2008-11	6.32	6.55	-0.04	0.14	-91.3	-13.04	-82.61	-0.48	0.45	-0.44	
2008-12	6.81	6.44	0.06	0.19	-82.61	39.13	-91.3	-0.4	0.72	-0.39	
2009-01	7.3	7.05	0.04	0.11	-65.22	21.74	-73.91	-0.3	0.04	-0.28	
2009-02	8.14	7.43	0.1	0.29	-56.52	82.61	-65.22	-0.16	1.19	-0.18	
2009-03	8.73	8.54	0.02	0.23	-39.13	82.61	-39.13	-0.04	0.74	-0.01	
2009-04	9.49	8.9	0.07	0.27	-4.35	100	-4.35	0.08	0.78	0.08	
2009-05	9.82	9.38	0.05	0.21	21.74	73.91	21.74	0.16	0.33	0.17	
2009-06	10.37	10.38	0	0.23	30.43	91.3	39.13	0.24	0.44	0.29	
2009-07	11.46	11.88	-0.04	0.3	39.13	100	39.13	0.35	0.81	0.44	
2009-08	11.62	9.39	0.24	0.27	47.83	73.91	30.43	0.33	0.18	0.13	
2009-09	11.28	9.77	0.15	0.22	47.83	47.83	39.13	0.25	0.01	0.15	
2009-10	11.69	10.67	0.1	0.15	47.83	13.04	39.13	0.24	-0.3	0.2	
2009-11	11.9	11.59	0.03	0.27	73.91	39.13	73.91	0.2	0.28	0.25	
2009-12	12.55	11.86	0.06	0.21	82.61	13.04	73.91	0.21	-0.02	0.22	
2010-01	13.02	10.89	0.2	0.21	91.3	-13.04	65.22	0.2	-0.16	0.08	
2010-02	12.34	11.27	0.09	0.1	73.91	-47.83	65.22	0.1	-0.52	0.09	
2010-03	12.77	11.54	0.11	0.18	82.61	-21.74	73.91	0.11	-0.15	0.09	
2010-04	13.68	10.63	0.29	0.23	91.3	-13.04	39.13	0.15	-0.05	-0.01	
2010-05	12.21	9.63	0.27	0.16	73.91	-47.83	-26.09	0.01	-0.31	-0.11	
2010-06	11.92	8.82	0.35	0.13	30.43	-82.61	-56.52	-0.02	-0.43	-0.17	
2010-07	10.48	8.93	0.17	0.14	-13.04	-65.22	-47.83	-0.14	-0.1	-0.14	
2010-08	11.74	9.08	0.29	0.2	-17.39	-13.04	-65.22	-0.03	0.18	-0.13	
2010-09	12.81	9.14	0.4	0.19	21.74	4.35	-56.52	0.04	0.02	-0.12	
2010-10	13.44	10.26	0.31	0.23	39.13	39.13	-39.13	0.08	0.32	0	
2010-11	14.42	9.88	0.46	0.31	69.57	56.52	-39.13	0.14	0.6	-0.03	
2010-12	19.07	9.84	0.94	0.19	100	47.83	-26.09	0.45	-0.24	-0.02	
2011-01	13.4	9.63	0.39	0.13	73.91	4.35	-39.13	0.02	-0.23	-0.03	
2011-02	13.94	10.18	0.37	0.14	82.61	-30.43	47.83	0.05	-0.21	0.04	
2011-03	13.85	10.13	0.37	0.23	47.83	21.74	30.43	0.03	0.3	0.05	
2011-04	12.71	10.01	0.27	0.17	21.74	-4.35	43.48	-0.05	0.04	0.04	
2011-05	12.09	9.16	0.32	0.13	-30.43	-56.52	-34.78	-0.09	-0.2	-0.04	
2011-06	12.01	9.23	0.3	0.12	-56.52	-73.91	-47.83	-0.1	-0.26	-0.04	
2011-07	12.83	9.08	0.41	0.16	-30.43	-39.13	-78.26	-0.05	-0.08	-0.06	
2011-08	12.23	8.72	0.4	0.15	-56.52	-56.52	-91.3	-0.1	-0.13	-0.09	
2011-09	11.38	7.9	0.44	0.1	-65.22	-91.3	-82.61	-0.15	-0.41	-0.17	
2011-10	10.55	8.24	0.28	0.09	-65.22	-100	-86.96	-0.2	-0.37	-0.12	
2011-11	11.4	7.83	0.46	0.14	-56.52	-73.91	-100	-0.12	-0.01	-0.15	
2011-12	10.15	7.22	0.41	0.09	-91.3	-91.3	-100	-0.17	-0.3	-0.19	
2012-01	9.55	7.41	0.29	0.08	-100	-100	-91.3	-0.2	-0.37	-0.15	
2012-02	9.98	8	0.25	0.14	-91.3	-39.13	-73.91	-0.14	0.2	-0.07	
2012-03	10.78	7.45	0.45	0.17	-65.22	4.35	-91.3	-0.05	0.31	-0.11	
2012-04	9.74	7.85	0.24	0.11	-91.3	21.74	-65.22	-0.12	0.04	-0.04	
2012-05	10.47	7.78	0.35	0.15	-65.22	30.43	-47.83	-0.04	0.24	-0.03	
2012-06	10.4	7.26	0.43	0.11	-47.83	-4.35	-82.61	-0.04	-0.14	-0.08	
2012-07	10.23	6.78	0.51	0.12	-39.13	-13.04	-100	-0.03	-0.07	-0.12	
2012-08	9.45	6.63	0.43	0.11	-91.3	-47.83	-100	-0.09	-0.01	-0.12	
2012-09	9.02	6.76	0.33	0.11	-100	-56.52	-91.3	-0.11	-0.02	-0.09	
2012-10	8.31	6.7	0.24	0.09	-100	-91.3	-91.3	-0.17	-0.17	-0.08	
2012-11	8.06	6.27	0.29	0.09	-100	-100	-100	-0.17	-0.16	-0.13	
2012-12	8.31	7.24	0.15	0.14	-91.3	-4.35	-47.83	-0.13	0.39	0.01	
2013-01	9.28	7.64	0.21	0.18	-65.22	82.61	-13.04	-0.02	0.56	0.06	
2013-02	9.78	7.68	0.27	0.12	-30.43	73.91	13.04	0.03	0.05	0.07	
2013-03	9.63	7.29	0.32	0.17	-13.04	82.61	13.04	0.03	0.34	0.02	
2013-04	9.64	7.1	0.36	0.11	17.39	39.13	13.04	0.03	-0.11	0	
2013-05	10.16	7.6	0.34	0.18	39.13	73.91	39.13	0.09	0.44	0.07	
2013-06	9.62	6.43	0.5	0.13	30.43	47.83	-26.09	0.04	-0.05	-0.08	
2013-07	9.69	6.55	0.48	0.19	39.13	73.91	-78.26	0.05	0.3	-0.06	
2013-08	9.53	6.89	0.38	0.2	4.35	91.3	-82.61	0.03	0.37	-0.02	
2013-09	9.38	7.2	0.3	0.19	-8.7	100	-56.52	0.01	0.36	0.02	
2013-10	9.92	7.04	0.41	0.18	21.74	82.61	-39.13	0.05	0.14	-0.01	
2013-11	9.9	7.37	0.34	0.16	39.13	65.22	8.7	0.03	0.01	0.03	
2013-12	10.05	7.07	0.42	0.17	73.91	30.43	8.7	0.04	-0.02	-0.01	
2014-01	10.72	6.98	0.54	0.15	82.61	13.04	13.04	0.09	-0.15	-0.02	
2014-02	10.74	7.08	0.52	0.18	82.61	4.35	26.09	0.08	0.02	0	
2014-03	9.7	6.91	0.4	0.18	39.13	21.74	-47.83	-0.02	0.08	-0.02	
2014-04	9.44	6.81	0.39	0.15	13.04	-21.74	-78.26	-0.05	-0.1	-0.03	
2014-05	9.53	6.83	0.4	0.11	0	-56.52	-82.61	-0.03	-0.27	-0.01	
2014-06	9.94	6.88	0.44	0.13	-4.35	-47.83	-78.26	0.01	-0.19	-0.01	
2014-07	9.37	7.33	0.28	0.2	-56.52	39.13	-21.74	-0.05	0.38	0.04	
2014-08	9.62	7.49	0.28	0.23	-39.13	100	30.43	-0.02	0.49	0.06	
2014-09	9.92	8.1	0.22	0.26	-17.39	100	91.3	0	0.72	0.13	
2014-10	9.94	8.26	0.2	0.22	21.74	82.61	100	0	0.41	0.14	
2014-11	9.89	8.98	0.1	0.27	17.39	100	100	0	0.77	0.22	
2014-12	10.97	10.12	0.08	0.49	91.3	100	100	0.1	1.7	0.32	
2015-01	12.17	10.34	0.18	0.33	100	82.61	100	0.2	0.56	0.3	
2015-02	12.89	10.86	0.19	0.19	100	47.83	100	0.25	-0.14	0.32	
2015-03	13.62	12.6	0.08	0.44	100	82.61	100	0.28	0.97	0.44	
2015-04	15.33	14.67	0.04	0.53	100	100	100	0.38	1.16	0.57	
2015-05	17.6	16.03	0.1	0.5	100	91.3	100	0.5	0.72	0.58	
2015-06	17.92	14.43	0.24	0.63	100	100	86.96	0.44	0.74	0.34	
2015-07	13.84	12.3	0.13	0.56	65.22	91.3	65.22	0.08	0.56	0.1	
2015-08	13.93	10.63	0.31	0.47	56.52	65.22	39.13	0.06	0.08	-0.07	
2015-09	11.82	10.02	0.18	0.28	13.04	30.43	4.35	-0.11	-0.29	-0.14	
2015-10	13.66	11.3	0.21	0.32	13.04	4.35	-4.35	0	-0.23	-0.05	
2015-11	15.52	11.84	0.31	0.44	30.43	-4.35	-13.04	0.1	-0.02	-0.02	
2015-12	16.24	12.35	0.31	0.34	47.83	-30.43	4.35	0.12	-0.21	0.01	
2016-01	13.09	9.34	0.4	0.27	30.43	-56.52	-39.13	-0.1	-0.41	-0.23	
2016-02	12.59	9.15	0.38	0.2	-4.35	-65.22	-56.52	-0.14	-0.56	-0.24	
2016-03	12.88	10.41	0.24	0.3	-21.74	-47.83	-39.13	-0.11	-0.24	-0.12	
2016-04	14.04	10.16	0.38	0.26	13.04	-65.22	-39.13	-0.03	-0.36	-0.12	
2016-05	13.88	9.94	0.4	0.2	-30.43	-82.61	-56.52	-0.02	-0.45	-0.1	
2016-06	14.75	10	0.47	0.25	21.74	-82.61	-65.22	0.06	-0.28	-0.06	
2016-07	14.17	9.96	0.42	0.27	21.74	-56.52	-73.91	0.02	-0.08	-0.04	
2016-08	13.31	10.39	0.28	0.23	4.35	-47.83	-21.74	-0.04	-0.09	0	
2016-09	13.3	10.13	0.31	0.17	-34.78	-82.61	-21.74	-0.05	-0.31	-0.03	
2016-10	13.07	10.47	0.25	0.15	-56.52	-100	4.35	-0.06	-0.31	0.01	
2016-11	13.34	10.95	0.22	0.26	-65.22	-30.43	56.52	-0.03	0.25	0.07	
2016-12	12.88	10.41	0.24	0.19	-82.61	-39.13	39.13	-0.04	-0.03	0.03	
2017-01	12.51	10.48	0.19	0.13	-82.61	-82.61	47.83	-0.07	-0.29	0.03	
2017-02	12.51	10.87	0.15	0.15	-78.26	-82.61	65.22	-0.07	-0.16	0.05	
2017-03	14.2	10.84	0.31	0.21	-30.43	-21.74	65.22	0.05	0.09	0.04	
2017-04	12.53	10.51	0.19	0.17	-56.52	-47.83	39.13	-0.06	-0.01	0.01	
2017-05	12.54	10.09	0.24	0.16	-73.91	-91.3	-8.7	-0.05	-0.13	-0.03	
2017-06	12.49	10.31	0.21	0.16	-91.3	-82.61	-30.43	-0.04	-0.07	-0.01	
2017-07	11.75	10.35	0.14	0.18	-91.3	-4.35	-21.74	-0.09	0.14	-0.01	
2017-08	11.93	10.68	0.12	0.21	-91.3	56.52	-4.35	-0.06	0.33	0.02	
2017-09	13	10.77	0.21	0.2	-56.52	47.83	21.74	0.02	0.16	0.02	
2017-10	13.47	10.92	0.23	0.14	-21.74	4.35	73.91	0.06	-0.23	0.03	
2017-11	13.8	10.58	0.3	0.2	13.04	21.74	65.22	0.08	0.09	0	
2017-12	13.17	10.55	0.25	0.14	21.74	-39.13	39.13	0.03	-0.17	0	
2018-01	12.76	10.85	0.18	0.2	4.35	-4.35	65.22	-0.01	0.18	0.02	
2018-02	11.83	10.36	0.14	0.11	-21.74	-82.61	13.04	-0.08	-0.28	-0.02	
2018-03	12.71	10.29	0.24	0.18	-21.74	-39.13	-47.83	0	0.08	-0.02	
2018-04	13.31	9.94	0.34	0.15	-8.7	-91.3	-91.3	0.05	-0.17	-0.05	
2018-05	13.24	9.87	0.34	0.17	-13.04	-47.83	-91.3	0.04	-0.09	-0.06	
2018-06	12.06	9.02	0.34	0.14	-65.22	-82.61	-100	-0.05	-0.21	-0.13	
2018-07	10.93	8.94	0.22	0.15	-95.65	-65.22	-100	-0.14	-0.02	-0.13	
2018-08	10.06	8.37	0.2	0.14	-100	-91.3	-100	-0.2	-0.07	-0.17	
2018-09	9.47	8.53	0.11	0.1	-100	-91.3	-91.3	-0.23	-0.22	-0.13	
2018-10	8.65	7.81	0.11	0.12	-100	-91.3	-100	-0.27	-0.1	-0.19	
2018-11	8.2	7.87	0.04	0.17	-100	21.74	-91.3	-0.28	0.39	-0.16	
2018-12	8.57	7.55	0.14	0.12	-91.3	-39.13	-100	-0.22	-0.09	-0.17	
2019-01	8.19	7.74	0.06	0.15	-100	30.43	-86.96	-0.23	0.18	-0.13	
2019-02	8.53	9.03	-0.06	0.17	-82.61	73.91	-39.13	-0.17	0.45	0.03	
2019-03	9.54	9.65	-0.01	0.33	-47.83	100	-4.35	-0.05	1.4	0.11	
2019-04	10.18	9.5	0.07	0.3	-13.04	91.3	13.04	0.04	0.85	0.1	
2019-05	9.67	8.89	0.09	0.19	-4.35	65.22	13.04	0.02	0.1	0.04	
2019-06	9.75	9.04	0.08	0.16	8.7	39.13	21.74	0.05	-0.06	0.05	
2019-07	10.42	9.04	0.15	0.17	30.43	21.74	26.09	0.12	-0.09	0.05	
2019-08	10.98	8.95	0.23	0.18	39.13	-4.35	17.39	0.17	-0.09	0.04	
2019-09	11.26	9.03	0.25	0.21	52.17	-4.35	4.35	0.19	-0.02	0.04	
2019-10	11.06	9.13	0.21	0.14	47.83	-39.13	30.43	0.14	-0.33	0.04	
2019-11	11.18	8.99	0.24	0.16	69.57	-47.83	4.35	0.12	-0.25	0.01	
2019-12	10.73	9.61	0.12	0.19	47.83	-13.04	65.22	0.06	0	0.06	
2020-01	11.42	9.58	0.19	0.19	60.87	-4.35	73.91	0.1	-0.08	0.04	
2020-02	11.73	9.55	0.23	0.33	82.61	73.91	73.91	0.1	0.49	0.03	
2020-03	11.02	8.99	0.23	0.34	65.22	100	39.13	0.02	0.57	-0.02	
2020-04	10.82	9.44	0.15	0.22	30.43	73.91	56.52	0	0.14	0.03	
2020-05	11.93	9.49	0.26	0.19	78.26	39.13	82.61	0.08	-0.11	0.03	
2020-06	12.13	10.16	0.19	0.22	100	47.83	91.3	0.08	0.1	0.09	
2020-07	12.99	11.51	0.13	0.41	100	82.61	100	0.14	0.92	0.21	
2020-08	13.04	11.81	0.1	0.29	100	91.3	100	0.12	0.34	0.21	
2020-09	12.37	11.17	0.11	0.24	82.61	56.52	91.3	0.06	0.05	0.12	
2020-10	14.21	11.35	0.25	0.16	100	21.74	82.61	0.19	-0.36	0.12	
2020-11	13.44	11.84	0.14	0.23	91.3	13.04	100	0.11	-0.04	0.14	
2020-12	13.14	12.18	0.08	0.24	78.26	13.04	100	0.06	0.03	0.15	
2021-01	14.95	12.21	0.22	0.27	100	21.74	100	0.18	0.02	0.13	
2021-02	14.22	12.15	0.17	0.18	91.3	-47.83	91.3	0.11	-0.26	0.1	
2021-03	11.84	11.87	0	0.24	47.83	30.43	73.91	-0.08	0.15	0.05	
2021-04	12.34	12.13	0.02	0.2	21.74	4.35	82.61	-0.05	-0.06	0.06	
2021-05	12.79	12.75	0	0.19	0	-21.74	100	-0.03	-0.11	0.08	
2021-06	13.93	12.78	0.09	0.24	30.43	21.74	100	0.05	0.05	0.07	
2021-07	14.89	12.24	0.22	0.32	56.52	82.61	73.91	0.11	0.29	0.02	
2021-08	14.92	12.58	0.19	0.34	91.3	91.3	82.61	0.1	0.41	0.04	
2021-09	12.97	12.49	0.04	0.32	52.17	91.3	73.91	-0.05	0.45	0.02	
2021-10	13.95	12.46	0.12	0.19	73.91	56.52	82.61	0.02	-0.22	0.01	
2021-11	14.79	12.85	0.15	0.28	91.3	56.52	91.3	0.08	0.11	0.04	
2021-12	13.29	12.96	0.03	0.28	47.83	91.3	100	-0.03	0.25	0.04	
2022-01	12.79	11.81	0.08	0.24	0	39.13	21.74	-0.06	0	-0.05	
2022-02	12.32	12.14	0.01	0.17	-56.52	-13.04	13.04	-0.08	-0.23	-0.02	
2022-03	12.15	11.28	0.08	0.29	-65.22	21.74	-39.13	-0.1	0.19	-0.09	
2022-04	10.63	10.33	0.03	0.23	-73.91	21.74	-56.52	-0.2	-0.04	-0.15	
2022-05	10.96	10.88	0.01	0.2	-78.26	-30.43	-65.22	-0.17	-0.12	-0.1	
2022-06	12.26	11.79	0.04	0.27	-65.22	39.13	-43.48	-0.06	0.12	-0.02	
2022-07	12.68	11.46	0.11	0.26	-39.13	47.83	-47.83	-0.01	-0.01	-0.04	
2022-08	12.94	11.21	0.15	0.29	-13.04	100	-78.26	0.02	0.07	-0.05	
2022-09	11.75	10.47	0.12	0.2	-65.22	-4.35	-73.91	-0.06	-0.18	-0.1	
2022-10	12.47	10.18	0.22	0.17	-8.7	-73.91	-82.61	0	-0.36	-0.11	
2022-11	12.23	10.99	0.11	0.25	-8.7	-30.43	-73.91	0	0.05	-0.03	
2022-12	11.68	10.75	0.09	0.22	-56.52	-56.52	-82.61	-0.03	-0.04	-0.03	
2023-01	12.44	11.47	0.08	0.15	-13.04	-91.3	-30.43	0.03	-0.32	0.04	
2023-02	12.49	11.54	0.08	0.21	13.04	-65.22	-4.35	0.04	-0.05	0.05	
2023-03	12.94	11.49	0.13	0.25	21.74	-21.74	30.43	0.07	0.1	0.04	
2023-04	14.22	11.45	0.24	0.26	56.52	-13.04	13.04	0.14	0.02	0.03	
2023-05	12.53	11.07	0.13	0.23	30.43	-21.74	4.35	0	-0.01	-0.01	
2023-06	13.68	11.13	0.23	0.23	73.91	-39.13	4.35	0.08	-0.03	0	
2023-07	12.47	11.36	0.1	0.21	30.43	-30.43	26.09	-0.01	0	0.02	
2023-08	11.26	10.8	0.04	0.23	-21.74	56.52	-39.13	-0.1	0.18	-0.02	
2023-09	11.71	10.69	0.1	0.18	-47.83	-39.13	-78.26	-0.06	-0.13	-0.04	
2023-10	11.77	10.43	0.13	0.18	-73.91	-100	-91.3	-0.05	-0.17	-0.06	
2023-11	11.88	10.48	0.13	0.25	-56.52	-47.83	-82.61	-0.04	0.14	-0.05	
2023-12	11.57	10.24	0.13	0.21	-78.26	-47.83	-91.3	-0.07	-0.02	-0.07	
2024-01	10.53	9.19	0.15	0.23	-86.96	-4.35	-100	-0.14	0.04	-0.15	
2024-02	9.64	10.02	-0.04	0.19	-100	-21.74	-82.61	-0.2	0.01	-0.06	
2024-03	11.5	10.18	0.13	0.28	-73.91	73.91	-73.91	-0.03	0.24	-0.04	
2024-04	10.61	10.32	0.03	0.23	-82.61	82.61	-47.83	-0.09	0.15	-0.02	
2024-05	10.57	10.19	0.04	0.22	-82.61	65.22	-47.83	-0.08	0.06	-0.02	
2024-06	10.55	9.67	0.09	0.19	-91.3	21.74	-73.91	-0.06	-0.14	-0.06	
2024-07	10.18	9.6	0.06	0.21	-91.3	13.04	-82.61	-0.07	-0.02	-0.05	
2024-08	9.17	9.3	-0.01	0.19	-100	-30.43	-91.3	-0.15	-0.04	-0.07	
2024-09	9.26	11.19	-0.17	0.18	-91.3	21.74	-34.78	-0.13	0.07	0.11	
2024-10	12.05	11.23	0.07	0.42	-39.13	100	30.43	0.13	0.78	0.11	
2024-11	11.81	11.39	0.04	0.47	-21.74	100	39.13	0.11	0.89	0.12	
2024-12	11.09	11.29	-0.02	0.41	26.09	91.3	56.52	0.05	0.61	0.1	
