month	平均成交价格	票值价格	价格溢价	成交活跃度	noise_avg_平均成交价格	noise_avg_成交量	noise_avg_票值价格	deviate_avg_12_平均成交价格	deviate_avg_12_成交量	deviate_avg_12_票值价格
2006-11	5.77	5.47	0.05	0.12	56.52	82.61	-4.35	0.08	0.6	0.05	
2006-12	6.3	6.97	-0.1	0.14	73.91	100	73.91	0.15	0.9	0.29	
2007-01	7.42	8	-0.07	0.2	91.3	100	100	0.3	1.29	0.41	
2007-02	7.91	8.36	-0.05	0.13	100	82.61	100	0.33	0.34	0.41	
2007-03	8.65	9.41	-0.08	0.21	100	91.3	100	0.39	0.94	0.49	
2007-04	11	11.27	-0.02	0.26	100	100	100	0.64	1.03	0.65	
2007-05	13.48	12.06	0.12	0.29	100	100	100	0.83	0.85	0.65	
2007-06	13.33	11.19	0.19	0.27	91.3	82.61	91.3	0.67	0.54	0.45	
2007-07	12.73	13.18	-0.03	0.14	91.3	47.83	100	0.49	-0.05	0.57	
2007-08	14.78	15.39	-0.04	0.2	100	65.22	100	0.58	0.24	0.66	
2007-09	15.87	16.47	-0.04	0.16	100	21.74	100	0.55	-0.05	0.61	
2007-10	17.98	18.55	-0.03	0.11	100	-21.74	100	0.6	-0.35	0.63	
2007-11	17.26	17.6	-0.02	0.07	91.3	-39.13	91.3	0.41	-0.51	0.42	
2007-12	15.77	19.04	-0.17	0.07	73.91	-47.83	100	0.21	-0.38	0.42	
2008-01	17.36	15.87	0.09	0.14	91.3	-21.74	65.22	0.25	-0.11	0.13	
2008-02	16.52	15.79	0.05	0.06	73.91	-56.52	47.83	0.13	-0.55	0.08	
2008-03	15.04	12.53	0.2	0.11	30.43	-47.83	4.35	0	-0.3	-0.16	
2008-04	13.62	13.17	0.03	0.1	-4.35	-39.13	-4.35	-0.11	-0.2	-0.13	
2008-05	13.88	12.1	0.15	0.11	-13.04	-13.04	-39.13	-0.1	-0.1	-0.2	
2008-06	11.1	9.61	0.16	0.08	-39.13	-73.91	-47.83	-0.27	-0.29	-0.36	
2008-07	10.55	9.72	0.09	0.1	-47.83	-21.74	-47.83	-0.3	0.02	-0.34	
2008-08	8.6	8.34	0.03	0.06	-56.52	-82.61	-65.22	-0.41	-0.3	-0.41	
2008-09	7.64	7.97	-0.04	0.07	-65.22	-82.61	-65.22	-0.45	-0.14	-0.4	
2008-10	7.17	6	0.2	0.08	-73.91	-100	-82.61	-0.44	-0.15	-0.51	
2008-11	6.49	6.49	0	0.12	-91.3	-13.04	-82.61	-0.46	0.44	-0.43	
2008-12	6.87	6.31	0.09	0.16	-82.61	47.83	-91.3	-0.39	0.68	-0.39	
2009-01	7.22	6.9	0.05	0.09	-65.22	13.04	-73.91	-0.31	0.02	-0.28	
2009-02	8.12	7.23	0.12	0.24	-56.52	91.3	-73.91	-0.16	1.13	-0.18	
2009-03	8.71	8.24	0.06	0.2	-39.13	82.61	-47.83	-0.05	0.74	-0.03	
2009-04	9.46	8.57	0.1	0.23	-8.7	100	-13.04	0.07	0.76	0.06	
2009-05	9.79	9.06	0.08	0.17	21.74	73.91	21.74	0.15	0.31	0.15	
2009-06	10.35	10.12	0.02	0.19	30.43	91.3	39.13	0.23	0.45	0.28	
2009-07	11.35	11.53	-0.02	0.25	39.13	100	39.13	0.34	0.83	0.43	
2009-08	11.45	9.04	0.27	0.23	47.83	82.61	30.43	0.31	0.19	0.11	
2009-09	10.97	9.37	0.17	0.18	39.13	47.83	39.13	0.22	0	0.14	
2009-10	11.31	10.11	0.12	0.12	47.83	13.04	39.13	0.21	-0.33	0.18	
2009-11	11.4	10.84	0.05	0.22	73.91	39.13	65.22	0.17	0.24	0.21	
2009-12	11.86	11.08	0.07	0.17	73.91	13.04	65.22	0.17	-0.04	0.19	
2010-01	12.34	10.1	0.22	0.17	82.61	-30.43	56.52	0.17	-0.18	0.05	
2010-02	11.66	10.33	0.13	0.08	65.22	-47.83	56.52	0.07	-0.55	0.05	
2010-03	11.76	10.52	0.12	0.14	65.22	-39.13	65.22	0.06	-0.19	0.05	
2010-04	12.51	9.67	0.29	0.17	91.3	-30.43	0	0.1	-0.11	-0.05	
2010-05	11.16	8.66	0.29	0.12	47.83	-65.22	-47.83	-0.03	-0.34	-0.14	
2010-06	10.57	7.93	0.33	0.09	-34.78	-82.61	-56.52	-0.08	-0.48	-0.2	
2010-07	9.17	7.81	0.17	0.11	-56.52	-73.91	-73.91	-0.19	-0.13	-0.19	
2010-08	10.27	7.73	0.33	0.15	-47.83	-30.43	-82.61	-0.09	0.12	-0.19	
2010-09	11.47	7.75	0.48	0.14	-21.74	-21.74	-82.61	0.02	-0.02	-0.17	
2010-10	12.41	8.72	0.42	0.2	8.7	30.43	-56.52	0.09	0.35	-0.06	
2010-11	12.92	8.19	0.58	0.26	47.83	56.52	-56.52	0.12	0.61	-0.09	
2010-12	20.52	8.16	1.51	0.15	100	13.04	-65.22	0.68	-0.38	-0.07	
2011-01	11.71	8.16	0.44	0.11	65.22	-4.35	-52.17	-0.04	-0.15	-0.06	
2011-02	12.32	8.52	0.45	0.12	56.52	-39.13	-13.04	0.01	-0.16	0	
2011-03	12.56	8.59	0.46	0.19	47.83	13.04	26.09	0.02	0.37	0.03	
2011-04	11.76	8.62	0.36	0.14	4.35	13.04	30.43	-0.04	0.08	0.05	
2011-05	11.37	7.98	0.42	0.11	-30.43	-56.52	-26.09	-0.07	-0.17	-0.02	
2011-06	11.37	7.96	0.43	0.1	-60.87	-73.91	-39.13	-0.08	-0.26	-0.03	
2011-07	11.67	7.72	0.51	0.13	-47.83	-30.43	-86.96	-0.07	-0.1	-0.06	
2011-08	10.61	7.34	0.45	0.11	-65.22	-56.52	-100	-0.16	-0.16	-0.1	
2011-09	10.17	6.76	0.5	0.08	-65.22	-91.3	-100	-0.18	-0.43	-0.16	
2011-10	9.28	7.08	0.31	0.07	-73.91	-91.3	-91.3	-0.24	-0.38	-0.11	
2011-11	9.89	6.68	0.48	0.1	-65.22	-82.61	-100	-0.17	-0.07	-0.14	
2011-12	8.86	6.32	0.4	0.07	-100	-91.3	-100	-0.19	-0.34	-0.17	
2012-01	8.65	6.6	0.31	0.06	-100	-100	-91.3	-0.19	-0.39	-0.12	
2012-02	9.07	7	0.3	0.11	-91.3	-39.13	-65.22	-0.13	0.13	-0.05	
2012-03	9.67	6.51	0.49	0.13	-65.22	4.35	-86.96	-0.05	0.27	-0.1	
2012-04	8.99	6.89	0.3	0.09	-73.91	-4.35	-56.52	-0.1	0.02	-0.03	
2012-05	9.72	6.79	0.43	0.12	-43.48	30.43	-47.83	-0.01	0.24	-0.03	
2012-06	9.48	6.33	0.5	0.08	-30.43	-13.04	-86.96	-0.02	-0.19	-0.07	
2012-07	9.03	5.97	0.51	0.08	-56.52	-13.04	-100	-0.04	-0.12	-0.11	
2012-08	8.4	5.81	0.45	0.08	-91.3	-65.22	-100	-0.09	-0.09	-0.11	
2012-09	8.06	5.92	0.36	0.08	-100	-73.91	-91.3	-0.11	-0.05	-0.09	
2012-10	7.48	5.88	0.27	0.06	-100	-100	-91.3	-0.16	-0.19	-0.08	
2012-11	7.36	5.62	0.31	0.07	-100	-91.3	-100	-0.16	-0.16	-0.11	
2012-12	7.64	6.45	0.18	0.11	-86.96	4.35	-47.83	-0.11	0.43	0.02	
2013-01	8.45	6.78	0.25	0.14	-65.22	65.22	-13.04	-0.02	0.57	0.07	
2013-02	8.91	6.73	0.32	0.1	-30.43	56.52	13.04	0.04	0.08	0.07	
2013-03	8.76	6.36	0.38	0.13	-13.04	82.61	13.04	0.03	0.36	0.01	
2013-04	8.58	6.19	0.39	0.08	0	39.13	-4.35	0.01	-0.12	-0.01	
2013-05	9.1	6.52	0.4	0.13	34.78	65.22	39.13	0.08	0.33	0.05	
2013-06	8.57	5.54	0.55	0.1	34.78	21.74	-47.83	0.03	-0.12	-0.1	
2013-07	8.4	5.56	0.51	0.13	4.35	56.52	-82.61	0.01	0.19	-0.09	
2013-08	8.31	5.83	0.43	0.14	-21.74	82.61	-91.3	0	0.3	-0.05	
2013-09	8.47	6.05	0.4	0.17	-8.7	100	-73.91	0.02	0.47	-0.01	
2013-10	8.82	5.95	0.48	0.14	17.39	82.61	-65.22	0.04	0.11	-0.03	
2013-11	8.78	6.16	0.43	0.12	4.35	56.52	-30.43	0.02	-0.01	0	
2013-12	8.68	5.87	0.48	0.12	21.74	30.43	-47.83	0	-0.05	-0.04	
